Device,5/31/26 - 6/6/26 Clicks,5/24/26 - 5/30/26 Clicks,5/31/26 - 6/6/26 Impressions,5/24/26 - 5/30/26 Impressions,5/31/26 - 6/6/26 CTR,5/24/26 - 5/30/26 CTR,5/31/26 - 6/6/26 Position,5/24/26 - 5/30/26 Position
Mobile,7,2,98,61,7.14%,3.28%,4.69,4.3
Desktop,3,3,1034,139,0.29%,2.16%,1.08,1.77
Tablet,0,0,9,1,0%,0%,2.56,6
